employee_id,email,gender,marital_status,number_of_dependents,education_level,health_plan,contract_type,probation_completed
EMP_00001,emp_00001@company.com,Other,Widowed,4,Bachelors,Standard,Permanent,True
EMP_00002,emp_00002@company.com,Male,Married,1,Bachelors,Basic,Temporary,True
EMP_00003,emp_00003@company.com,Female,Divorced,1,Masters,Basic,Permanent,True
EMP_00004,emp_00004@company.com,Male,Married,0,Bachelors,Standard,Permanent,True
EMP_00005,emp_00005@company.com,Male,Single,0,Bachelors,Premium,Permanent,True
EMP_00006,emp_00006@company.com,Female,Single,2,High School,Premium,Permanent,True
EMP_00007,emp_00007@company.com,Male,Divorced,1,High School,Premium,Permanent,True
EMP_00008,emp_00008@company.com,Male,Widowed,2,Bachelors,Basic,Permanent,True
EMP_00009,emp_00009@company.com,Female,Married,1,Bachelors,Basic,Permanent,True
EMP_00010,emp_00010@company.com,Female,Widowed,0,High School,Basic,Temporary,True
EMP_00011,emp_00011@company.com,Female,Single,1,Masters,Basic,Contractor,True
EMP_00012,emp_00012@company.com,Male,Widowed,0,Bachelors,Basic,Permanent,True
EMP_00013,emp_00013@company.com,Female,Divorced,1,Bachelors,Standard,Permanent,True
EMP_00014,emp_00014@company.com,Female,Married,1,Bachelors,Premium,Contractor,True
EMP_00015,emp_00015@company.com,Female,Divorced,2,Bachelors,Basic,Permanent,True
EMP_00016,emp_00016@company.com,Female,Married,2,Masters,Basic,Permanent,True
EMP_00017,emp_00017@company.com,Male,Married,0,Bachelors,Premium,Permanent,True
EMP_00018,emp_00018@company.com,Female,Single,1,Bachelors,Premium,Contractor,True
EMP_00019,emp_00019@company.com,Male,Single,1,Masters,Standard,Permanent,True
EMP_00020,emp_00020@company.com,Male,Divorced,1,High School,Basic,Permanent,True
EMP_00021,emp_00021@company.com,Female,Divorced,1,High School,Standard,Permanent,True
EMP_00022,emp_00022@company.com,Male,Single,2,Masters,Premium,Permanent,True
EMP_00023,emp_00023@company.com,Female,Widowed,1,Bachelors,Standard,Temporary,True
EMP_00024,emp_00024@company.com,Female,Divorced,0,High School,Standard,Permanent,True
EMP_00025,emp_00025@company.com,Male,Single,0,Masters,Standard,Permanent,True
EMP_00026,emp_00026@company.com,Female,Widowed,1,High School,Basic,Permanent,True
EMP_00027,emp_00027@company.com,Female,Widowed,1,Bachelors,Basic,Permanent,True
EMP_00028,emp_00028@company.com,Male,Married,1,High School,Basic,Permanent,True
EMP_00029,emp_00029@company.com,Female,Married,2,Bachelors,Premium,Permanent,True
EMP_00030,emp_00030@company.com,Female,Single,1,Bachelors,Basic,Permanent,True
EMP_00031,emp_00031@company.com,Female,Divorced,1,High School,Basic,Permanent,True
EMP_00032,emp_00032@company.com,Female,Single,2,High School,Basic,Permanent,True
EMP_00033,emp_00033@company.com,Female,Widowed,0,High School,Premium,Permanent,True
EMP_00034,emp_00034@company.com,Male,Widowed,0,High School,Basic,Permanent,True
EMP_00035,emp_00035@company.com,Female,Widowed,0,High School,Premium,Permanent,True
